sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count1,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,r_charge_desc,priors_count2,score_text,two_year_recid
Female,Less than 25,Native American,0,1,2,2.0,-2.0,F,"Poss 3,4 MDMA (Ecstasy)",1,0,Petit Theft,2,Medium,1
Male,Greater than 45,Asian,0,0,0,0.0,0.0,M,Assault,1,0,,0,Low,0
Female,25 - 45,African-American,0,0,0,2.0,-1.0,F,Drivg While Lic Suspd/Revk/Can,1,0,Unnatural/Lascivious Act,2,Medium,1
Female,Less than 25,African-American,0,0,0,1.0,4.43853506030824,F,Poss Pyrrolidinovalerophenone W/I/D/S,1,0,Unlaw LicTag/Sticker Attach,1,Low,1
Female,Less than 25,Other,0,0,0,19.0,-1.0,F,Felony Petit Theft,0,0,,19,Medium,0
Male,25 - 45,Asian,0,0,0,0.0,0.0,F,Misuse Of 911 Or E911 System,1,0,,0,Low,0
Female,Less than 25,Native American,0,1,0,24.0,-1.0,F,Open Carrying Of Weapon,0,0,Unnatural/Lascivious Act,24,Medium,0
Female,Less than 25,Other,0,0,0,1.0,0.0,F,"Poss 3,4 MDMA (Ecstasy)",1,0,Possess Cannabis/20 Grams Or Less,1,High,1
Female,Less than 25,Other,0,0,0,13.0,-1.0,F,Open Carrying Of Weapon,0,0,,13,Medium,0
Male,Greater than 45,Caucasian,0,0,0,0.0,-1.0,M,Video Voyeur-<24Y on Child >16,0,0,,0,Low,0
Female,Less than 25,African-American,0,0,0,3.0,-1.0,F,Possession Of Amphetamine,0,0,Driving License Suspended,3,Medium,1
Female,Less than 25,Native American,0,0,0,9.0,0.0,F,arrest case no charge,1,1,Possess Cannabis/20 Grams Or Less,9,High,1
Female,Less than 25,Other,0,0,0,9.0,0.0,M,Open Carrying Of Weapon,1,0,Petit Theft,9,Medium,0
Female,25 - 45,Hispanic,0,0,0,13.0,-28.0,M,Violation License Restrictions,0,0,,13,Medium,0
Female,25 - 45,Hispanic,0,0,0,6.0,-1.0,F,Possession of Oxycodone,0,0,,6,Medium,0
Female,Greater than 45,Caucasian,0,0,0,2.0,-1.0,F,Open Carrying Of Weapon,0,0,,2,High,0
Female,25 - 45,African-American,0,0,0,2.0,0.0,M,Open Carrying Of Weapon,0,0,,2,Medium,0
Female,Greater than 45,Caucasian,0,0,1,2.0,-1.0,M,Arson in the First Degree,1,0,Possess Cannabis/20 Grams Or Less,2,Low,1
Male,25 - 45,Hispanic,0,0,0,3.0,-1.0,F,Interfere W/Traf Cont Dev RR,0,0,,3,Low,0
Female,Greater than 45,Native American,0,0,0,6.0,0.0,F,Drivg While Lic Suspd/Revk/Can,0,0,,6,Low,0
Male,Greater than 45,Caucasian,0,0,0,0.0,-3.0,F,Video Voyeur-<24Y on Child >16,0,0,,0,Low,0
Female,Greater than 45,Native American,0,0,0,1.0,0.0,F,Burglary Conveyance Unoccup,1,0,Resist/Obstruct W/O Violence,1,Low,1
Male,Greater than 45,African-American,0,0,0,1.0,-1.0,F,arrest case no charge,0,0,,1,Low,0
Male,25 - 45,Caucasian,0,0,0,0.0,-1.0,M,Video Voyeur-<24Y on Child >16,0,0,,0,Low,0
Female,Less than 25,Asian,0,1,0,2.0,-1.0,F,Possession Of Amphetamine,0,0,,2,Low,0
Female,Less than 25,Other,0,0,0,3.0,-1.0,F,Poss Pyrrolidinovalerophenone W/I/D/S,1,0,Possess Cannabis/20 Grams Or Less,3,Medium,1
Male,Greater than 45,African-American,0,0,3,0.0,0.0,F,Video Voyeur-<24Y on Child >16,1,0,Possess Cannabis/20 Grams Or Less,0,Low,1
Male,25 - 45,Asian,0,0,0,2.0,-1.0,F,arrest case no charge,0,0,,2,Low,0
Female,Less than 25,Asian,0,0,0,3.0,-1.0,F,Burglary Conveyance Unoccup,1,0,Exposes Culpable Negligence,3,Medium,1
Male,Greater than 45,Caucasian,0,0,0,2.0,-1.0,M,arrest case no charge,0,0,,2,Low,0
Female,Less than 25,Native American,0,0,0,4.0,-1.0,F,arrest case no charge,1,0,Aggravated Assault w/Firearm,4,High,1
Female,Less than 25,Native American,1,2,0,9.0,-1.0,F,Possession Of Amphetamine,1,0,Driving License Suspended,9,High,1
Male,25 - 45,Caucasian,0,0,0,0.0,-4.0,M,"Poss3,4 Methylenedioxymethcath",1,0,Possess Cannabis/20 Grams Or Less,0,Low,1
Male,25 - 45,Asian,0,0,0,0.0,-2.0,M,Misuse Of 911 Or E911 System,1,0,,0,Low,0
Female,25 - 45,African-American,0,0,0,1.0,-1.0,F,Viol Pretrial Release Dom Viol,1,0,Resist/Obstruct W/O Violence,1,Medium,1
Female,Less than 25,Native American,0,0,0,4.0,0.0,F,Burglary Conveyance Unoccup,0,0,,4,Low,1
Female,Less than 25,Native American,0,0,0,1.0,-1.0,M,"Poss 3,4 MDMA (Ecstasy)",1,1,Resist/Obstruct W/O Violence,1,Low,0
Male,25 - 45,Caucasian,0,0,0,0.0,0.0,F,Assault,0,0,,0,Low,0
Male,Greater than 45,Caucasian,0,0,0,1.0,-29.0,F,Possession Of Amphetamine,0,0,,1,Low,0
Male,Greater than 45,Asian,0,0,0,0.0,-2.0,F,Video Voyeur-<24Y on Child >16,0,0,,0,Low,0
Male,25 - 45,African-American,0,0,0,0.0,-1.0,M,Assault,0,0,,0,Low,0
Female,Less than 25,Other,0,0,0,9.0,-1.0,F,Felony Petit Theft,1,0,Fail Register Vehicle,9,Medium,1
Male,Greater than 45,Asian,0,0,0,0.0,-1.0,F,Video Voyeur-<24Y on Child >16,0,0,Driving License Suspended,0,Low,0
Female,Less than 25,Native American,0,0,0,12.0,-1.0,F,Violation License Restrictions,1,0,Exposes Culpable Negligence,12,Medium,1
Female,Less than 25,Native American,0,0,0,28.259067760155226,-1.0,F,Felony Petit Theft,1,0,Leaving the Scene of Accident,28,High,1
Female,25 - 45,Hispanic,0,0,0,1.0,-1.0,M,Retail Theft $300 1st Offense,1,0,Driving License Suspended,1,Low,1
Male,Greater than 45,Caucasian,0,0,0,0.0,0.0,M,Misuse Of 911 Or E911 System,1,0,Possess Cannabis/20 Grams Or Less,0,Low,1
Male,Greater than 45,African-American,0,0,0,0.0,-3.0,F,"Poss3,4 Methylenedioxymethcath",1,0,Possess Cannabis/20 Grams Or Less,0,Medium,1
Female,Less than 25,Native American,0,2,0,3.0,0.0,F,arrest case no charge,1,1,Battery,3,Medium,1
Male,Greater than 45,Asian,0,0,0,1.0,-1.0,M,Manslaughter W/Weapon/Firearm,0,0,,1,Medium,0
Female,Less than 25,Other,0,0,0,5.0,0.0,M,arrest case no charge,1,0,Driving License Suspended,5,Low,1
Female,Less than 25,Other,0,0,0,7.0,-1.0,F,Retail Theft $300 1st Offense,1,0,Unnatural/Lascivious Act,7,High,1
Female,Less than 25,Native American,0,0,0,8.0,-1.0,F,Possession of Oxycodone,1,0,Poss Anti-Shoplifting Device,8,Medium,0
Female,Greater than 45,African-American,0,0,0,5.0,-1.0,F,Interfere W/Traf Cont Dev RR,0,0,,5,Low,0
Male,Greater than 45,Asian,0,0,0,0.0,-1.0,F,Assault,0,0,,0,Low,0
Female,Less than 25,Native American,0,0,0,8.0,-1.0,M,Viol Pretrial Release Dom Viol,1,0,Poss Anti-Shoplifting Device,8,High,1
Male,Greater than 45,Asian,0,0,0,0.0,-1.0,F,"Poss3,4 Methylenedioxymethcath",0,0,,0,Low,0
Female,Greater than 45,Hispanic,0,0,0,4.0,-1.0,F,arrest case no charge,0,0,,4,High,0
Male,Greater than 45,African-American,0,0,0,0.0,0.0,F,Video Voyeur-<24Y on Child >16,0,0,,0,Low,0
Male,Greater than 45,Caucasian,0,0,0,0.0,-1.0,F,Misuse Of 911 Or E911 System,1,1,No Valid DL / Non Resident,0,Medium,0
Male,Greater than 45,Caucasian,0,0,0,0.0,-1.0,F,Video Voyeur-<24Y on Child >16,0,0,,0,Low,1
Male,Greater than 45,Caucasian,0,0,0,0.0,-3.0,M,Assault,0,0,,0,Low,0
Female,Less than 25,Other,0,0,0,8.0,0.0,F,Interfere W/Traf Cont Dev RR,1,0,,8,Low,1
Female,25 - 45,Caucasian,0,0,0,3.0,-1.0,F,arrest case no charge,0,0,,3,Low,0
Female,25 - 45,Hispanic,0,0,0,1.0,-1.0,F,Interfere W/Traf Cont Dev RR,1,0,Possession of Cocaine,1,Medium,1
Female,25 - 45,Caucasian,0,0,0,3.0,0.0,M,Violation License Restrictions,0,0,,3,Medium,0
