sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count1,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,r_charge_desc,priors_count2,score_text,two_year_recid
Female,Greater than 45,Other,0,0,0,1.0,-1.0,F,Possession of Cocaine,1,1,Battery,1,Low,1
Female,Greater than 45,Asian,0,0,0,0.0,-1.0,M,DUI Property Damage/Injury,1,0,,0,Low,0
Female,25 - 45,African-American,0,1,0,4.0,-3.0,M,Attempted Deliv Control Subst,1,0,Susp Drivers Lic 1st Offense,4,Medium,1
Male,Less than 25,African-American,0,0,0,2.0,-1.0,M,Kidnapping / Domestic Violence,0,0,,2,Low,0
Female,25 - 45,Other,0,0,0,0.0,0.0,M,Battery,0,0,,0,Low,0
Male,25 - 45,Caucasian,0,0,0,9.0,-1.0,F,Felony Petit Theft,1,0,Felony Petit Theft,9,Medium,1
Male,25 - 45,Caucasian,0,0,0,25.006724477106978,-1.0,M,Burglary Unoccupied Dwelling,0,0,Prowling/Loitering,25,Medium,0
Male,Less than 25,Other,0,0,0,2.0,-1.0,F,Possession of Cocaine,0,0,,2,Low,0
Female,Less than 25,Native American,0,0,1,3.0,-1.0,F,Driving While License Revoked,1,0,Petit Theft,3,Medium,0
Male,Greater than 45,Native American,0,0,0,6.0,-23.0,F,Trespass Other Struct/Conve,0,0,,6,Low,0
Male,Greater than 45,African-American,0,0,0,0.0,-1.0,M,Disorderly Conduct,0,0,Possess Cannabis/20 Grams Or Less,0,Low,1
Male,Less than 25,Native American,0,0,0,1.0,-1.0,F,Crim Use of Personal ID Info,0,0,,1,Low,0
Male,25 - 45,Other,0,0,0,1.0,-1.0,M,Battery,1,1,Battery,1,Low,1
Male,25 - 45,Other,0,0,0,5.0,-1.0,M,Possess Cannabis/20 Grams Or Less,1,0,Susp Drivers Lic 1st Offense,5,Low,1
Female,25 - 45,Native American,0,0,0,6.0,-1.0,M,Battery,0,0,,6,Medium,0
Female,Less than 25,Asian,0,0,3,2.0,-1.0,F,arrest case no charge,1,0,Poss Unlaw Issue Id,2,High,1
Male,25 - 45,African-American,0,3,0,7.0,-11.0,F,arrest case no charge,1,0,Misuse Of 911 Or E911 System,7,High,1
Female,Greater than 45,Caucasian,0,0,0,0.0,-2.0,F,Aggravated Battery / Pregnant,0,0,,0,Low,0
Male,25 - 45,Hispanic,0,0,0,1.0,-1.0,M,Battery,0,0,,1,Low,0
Male,25 - 45,Caucasian,0,0,0,8.0,-1.0,M,Possess Cannabis/20 Grams Or Less,1,1,Possess Cannabis/20 Grams Or Less,8,High,1
Male,Less than 25,Other,0,0,0,5.0,-1.0,F,arrest case no charge,1,0,Susp Drivers Lic 1st Offense,5,Low,1
Male,Greater than 45,Hispanic,0,0,0,2.0,0.0,F,Burglary Conveyance Unoccup,0,0,,2,Medium,0
Female,Less than 25,African-American,0,0,0,0.0,-1.0,F,Possession Burglary Tools,0,0,,0,Low,0
Male,25 - 45,Other,0,0,0,1.0,-22.0,M,Sex Offender Fail Comply W/Law,0,0,,1,Low,0
Female,Less than 25,Asian,0,0,0,0.0,-1.0,F,Possession Burglary Tools,0,0,,0,Low,0
Male,25 - 45,Native American,0,0,0,4.0,-1.0,F,Fabricating Physical Evidence,1,0,Misuse Of 911 Or E911 System,4,Low,1
Female,Less than 25,African-American,0,0,0,1.0,-1.0,F,Viol Prot Injunc Repeat Viol,1,1,Trespass Structure/Conveyance,1,Medium,1
Male,25 - 45,African-American,0,2,1,3.0,-3.0,F,Violation Of Boater Safety Id,1,1,Possession of Morphine,3,High,1
Male,Less than 25,Asian,0,0,0,3.0,0.0,M,Assault Law Enforcement Officer,1,1,Burglary Conveyance Unoccup,3,Low,1
Male,Less than 25,Caucasian,0,0,0,6.0,-26.0,F,Computer Pornography,0,0,,6,Low,0
Male,Less than 25,Caucasian,0,0,0,4.0,-25.0,F,Assault Law Enforcement Officer,0,0,Operating W/O Valid License,4,Low,0
Male,Less than 25,Caucasian,0,0,0,0.0,0.0,F,Felony Driving While Lic Suspd,1,0,Petit Theft,0,Medium,1
Female,25 - 45,Hispanic,0,1,2,1.0,0.0,M,Battery,1,0,Petit Theft,1,Medium,1
Male,25 - 45,African-American,0,0,0,5.0,-1.0,M,Computer Pornography,1,0,,5,Medium,0
Male,Greater than 45,African-American,0,0,0,6.0,-1.0,M,arrest case no charge,1,0,Unlaw Malic Strike K9/Horses,6,High,1
Male,Greater than 45,Asian,0,0,0,11.0,0.0,M,Battery,0,0,,11,Medium,0
Female,Greater than 45,Caucasian,0,0,0,12.0,-1.0,F,Possession of Cocaine,1,0,Throw Missile Into Pub/Priv Dw,12,High,1
Male,Greater than 45,Hispanic,0,0,0,0.0,0.0,F,Burglary Conveyance Unoccup,0,0,,0,Low,0
Male,Less than 25,Native American,0,0,0,0.0,-1.0,M,Battery,1,0,Purchase Of Cocaine,0,Low,0
Female,25 - 45,Caucasian,0,0,0,2.0,-1.0,M,Battery,0,0,,2,Medium,0
Male,25 - 45,African-American,0,0,0,13.0,-1.0,F,Driving While License Revoked,1,0,Possession Of Paraphernalia,13,High,1
Female,Less than 25,Caucasian,0,0,0,3.0,0.0,F,Burglary Conveyance Unoccup,1,0,Resist/Obstruct W/O Violence,3,Medium,1
Female,Less than 25,Caucasian,0,0,0,7.0,-8.0,M,Viol Injunct Domestic Violence,1,0,Aggrav Stalking After Injunctn,7,Low,0
Male,25 - 45,African-American,0,0,0,1.0,-6.0,F,arrest case no charge,0,0,,1,Low,0
Female,Less than 25,Hispanic,0,0,0,1.0,0.0,M,Burglary Conveyance Unoccup,0,0,,1,Low,0
Female,Greater than 45,Hispanic,0,0,0,0.0,-1.0,F,Sel/Pur/Mfr/Del Control Substa,0,0,,0,Low,0
Female,Greater than 45,Native American,0,0,0,1.0,-1.0,F,arrest case no charge,0,0,,1,Low,0
Male,Greater than 45,African-American,0,0,0,1.0,0.0,F,Felony Driving While Lic Suspd,0,0,,1,Low,0
Female,Less than 25,Other,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Male,Less than 25,Asian,0,0,1,1.0,0.0,F,Deliver Cocaine 1000FT Church,1,0,Operating W/O Valid License,1,Medium,1
Male,Less than 25,Hispanic,1,0,0,1.0,13.170172514830107,F,arrest case no charge,1,0,Resist/Obstruct W/O Violence,1,Medium,1
Male,25 - 45,Native American,0,0,0,1.0,-1.0,F,Possession of Hydrocodone,1,0,Resist/Obstruct W/O Violence,1,High,1
Male,25 - 45,Asian,0,0,0,1.0,-1.0,F,Burglary Conveyance Unoccup,1,0,Felony Battery,1,Low,1
Male,Less than 25,Asian,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Male,25 - 45,Caucasian,0,0,0,0.0,0.0,F,Agg Battery Grt/Bod/Harm,0,0,,0,Low,0
Male,Greater than 45,Asian,0,1,3,2.0,-1.0,M,Driving While License Revoked,0,0,,2,Medium,0
Female,Greater than 45,Asian,0,0,0,1.0,-4.0,M,Possession Burglary Tools,0,0,,1,Low,0
Male,Less than 25,Other,0,0,0,5.0,-1.0,F,Possession of Hydrocodone,0,0,,5,High,0
Male,Less than 25,African-American,0,0,0,0.0,-1.0,F,Solicit To Deliver Cocaine,1,1,Operating W/O Valid License,0,Low,1
Male,Less than 25,Other,0,0,0,0.0,-1.0,F,Fail To Redeliv Hire/Leas Prop,0,0,,0,High,0
Male,25 - 45,Caucasian,0,0,0,1.0,0.0,F,Throw Missile Into Pub/Priv Dw,0,0,,1,Medium,1
Male,25 - 45,Other,0,0,0,2.0,-2.0,F,Burglary Conveyance Unoccup,1,0,Present Proof of Invalid Insur,2,Low,0
Male,Less than 25,Native American,0,0,0,3.0,0.0,F,Possession of Cocaine,0,0,,3,Low,0
Male,25 - 45,Asian,0,0,0,0.0,-1.0,M,Battery,1,0,Resist/Obstruct W/O Violence,0,Medium,1
Female,25 - 45,Native American,0,0,0,3.0,0.0,M,Battery,1,0,Robbery Sudd Snatch No Weapon,3,Medium,1
Male,Greater than 45,Asian,0,0,0,2.0,-1.0,F,Possession of Cocaine,0,0,,2,Medium,0
Female,25 - 45,Caucasian,0,0,0,1.0,-1.0,F,arrest case no charge,0,0,,1,Low,0
Male,Less than 25,African-American,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Male,Less than 25,African-American,0,0,0,2.0,-1.0,F,Possession Burglary Tools,0,0,,2,Low,0
Male,Less than 25,Other,0,0,0,0.0,0.0,M,Battery,0,0,Burglary Unoccupied Dwelling,0,Medium,0
Male,25 - 45,Hispanic,0,0,0,4.0,-1.0,F,Possession of Hydrocodone,1,0,,4,Low,1
Female,Greater than 45,African-American,0,0,0,0.0,-1.0,F,Agg Battery Grt/Bod/Harm,0,0,Solicit ProstitutionViolation,0,Low,0
Female,Greater than 45,Other,0,0,0,7.0,-1.0,F,Tampering With Physical Evidence,1,0,Felony Battery,7,Medium,1
Male,25 - 45,African-American,0,1,1,3.0,0.0,F,arrest case no charge,1,1,Sale of Alcoholic Bev to Minor,3,High,1
Female,25 - 45,African-American,0,0,0,2.0,-1.0,F,Computer Pornography,1,1,Felony Battery w/Prior Convict,2,High,1
Female,Greater than 45,African-American,0,0,0,0.0,-1.0,M,Consume Alcoholic Bev Pub,0,0,,0,Low,0
Female,25 - 45,Native American,0,0,0,0.0,-1.0,F,Leave Accd/Attend Veh/Less $50,1,0,Petit Theft,0,Medium,1
Male,Greater than 45,Caucasian,0,0,0,1.0,-26.0,F,arrest case no charge,0,0,,1,Low,0
Male,Greater than 45,African-American,0,0,0,0.0,-1.0,F,Att Burgl Struc/Conv Dwel/Occp,1,0,Burglary Unoccupied Dwelling,0,Low,1
Female,Greater than 45,African-American,0,0,0,1.0,0.0,M,Battery,0,0,,1,Low,0
Female,Greater than 45,African-American,0,0,0,2.0,-14.092187088790949,M,Battery,1,0,,2,Low,1
Female,Greater than 45,Caucasian,0,0,0,0.0,0.0,F,Fraudulent Use of Credit Card,0,0,,0,Medium,0
Female,Greater than 45,African-American,0,0,0,3.0,0.0,M,arrest case no charge,1,0,,3,Medium,0
Male,25 - 45,Other,0,0,0,2.0,-1.0,F,Fail To Redeliv Hire/Leas Prop,0,0,,2,Low,0
Male,Less than 25,Hispanic,0,0,0,11.0,-1.0,M,Viol Prot Injunc Repeat Viol,1,0,Petit Theft,11,Medium,1
Male,25 - 45,African-American,0,0,0,2.0,-1.0,M,Battery,1,0,Poss Cocaine/Intent To Del/Sel,2,High,1
Male,25 - 45,Asian,0,0,0,0.0,-1.0,F,Aggrav Battery w/Deadly Weapon,0,0,,0,Low,0
Female,Greater than 45,Asian,0,0,0,1.0,-1.0,F,Burglary Conveyance Unoccup,1,0,Possess Cannabis/20 Grams Or Less,1,Low,1
Male,Greater than 45,Hispanic,1,1,1,12.0,-1.0,M,Grand Theft Firearm,1,0,Aggravated Assault w/Firearm,12,High,1
Male,Less than 25,Other,0,0,0,9.0,-1.0,M,Viol Injunct Domestic Violence,1,1,Aggravated Assault W/Dead Weap,9,Medium,0
Female,25 - 45,Hispanic,0,0,0,1.0,-1.0,F,arrest case no charge,1,0,Misuse Of 911 Or E911 System,1,Medium,1
Male,25 - 45,Hispanic,0,0,0,9.0,-1.0,M,Battery,1,0,Felony Battery,9,Medium,1
Male,Greater than 45,African-American,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Female,Less than 25,Caucasian,0,0,0,2.0,-1.0,F,Tampering with a Victim,1,1,Threat Public Servant,3,High,1
Female,Less than 25,Asian,0,0,0,19.0,0.0,F,Fraudulent Use of Credit Card,1,0,Traffick Oxycodone 14-25 grams,19,High,0
Male,Less than 25,African-American,0,0,0,8.0,0.0,F,Burglary Conveyance Unoccup,1,0,Possession Of Paraphernalia,8,High,0
Female,Greater than 45,Native American,0,0,0,12.0,0.0,F,Driving While License Revoked,1,0,Present Proof of Invalid Insur,12,Low,1
Female,Greater than 45,Caucasian,0,0,0,1.0,-22.0,F,Use Scanning Device to Defraud,0,0,,1,Low,0
Female,Greater than 45,Asian,0,0,0,1.0,-11.0,M,Assault,0,0,,1,Low,0
Female,Less than 25,African-American,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Male,Greater than 45,African-American,0,0,1,7.0,-1.0,F,Tampering with a Victim,1,1,Cash Item w/Intent to Defraud,5,High,1
Male,25 - 45,Other,0,0,0,0.0,-1.0,F,Driving While License Revoked,0,0,,0,Low,0
Male,25 - 45,Caucasian,0,0,0,7.0,-23.0,F,Possession of Cocaine,1,1,Battery,7,Low,1
Male,25 - 45,Other,0,0,0,0.0,-1.0,F,arrest case no charge,0,0,,0,Low,0
Female,Greater than 45,Other,0,0,0,0.0,0.0,F,Burglary Conveyance Unoccup,0,0,,0,High,0
Male,25 - 45,Native American,0,0,0,1.0,-1.0,M,Burglary Conveyance Unoccup,1,0,Susp Drivers Lic 1st Offense,1,Low,1
Female,Less than 25,Other,0,0,0,1.0,-1.0,F,False Imprisonment,1,1,Battery,1,Low,1
Female,25 - 45,Asian,0,2,0,7.0,0.0,F,Felony Petit Theft,1,0,Present Proof of Invalid Insur,6,High,1
Female,Less than 25,Asian,0,0,0,0.0,-1.0,M,Solicit Deliver Cocaine,0,0,,0,Low,0
Female,Greater than 45,Native American,0,0,0,1.0,-1.0,F,Burglary Unoccupied Dwelling,0,0,,1,Medium,0
Female,Less than 25,Native American,0,0,0,0.0,-1.0,F,Possession Of Alprazolam,0,0,,0,Low,0
Female,25 - 45,Caucasian,0,0,0,0.0,0.0,M,Att Burgl Struc/Conv Dwel/Occp,0,0,,0,Low,0
Female,Greater than 45,Caucasian,0,0,0,0.0,-1.0,F,arrest case no charge,0,0,,0,Medium,0
Female,Less than 25,Asian,0,0,0,3.0,-1.0,F,False Imprisonment,1,0,Prowling/Loitering,3,Low,1
Female,25 - 45,Native American,0,0,1,0.0,-1.0,F,Burglary Unoccupied Dwelling,0,0,,0,Low,0
Female,25 - 45,Asian,0,0,0,5.0,-1.0,F,Driving While License Revoked,1,0,Resist/Obstruct W/O Violence,5,Low,1
Male,Less than 25,Asian,0,0,0,1.0,-1.0,M,Battery,1,0,,1,Low,0
Male,25 - 45,Hispanic,0,1,0,17.0,0.0,F,Offn Against Intellectual Prop,1,0,Possess Cannabis/20 Grams Or Less,17,Medium,1
Female,Greater than 45,Hispanic,0,0,0,0.0,-3.0,M,Possession Of Alprazolam,0,0,,0,Medium,0
Female,Greater than 45,Hispanic,0,0,1,5.0,-1.0,F,Agg Abuse Elderlly/Disabled Adult,1,0,Child Abuse,5,Medium,1
Female,25 - 45,Native American,0,0,0,0.0,-1.0,F,Issuing a Worthless Draft,0,0,Aggravated Battery / Pregnant,0,Low,0
Male,Greater than 45,Asian,0,0,0,0.0,0.0,M,Battery,0,0,,0,Low,0
Male,Less than 25,Other,0,0,1,3.0,15.579440435485665,F,Violation Of Boater Safety Id,1,1,Sell Methamphetamine,2,High,1
Male,25 - 45,Native American,0,0,0,0.0,0.0,F,Possession of Cocaine,1,1,Battery,0,Medium,1
Female,25 - 45,African-American,0,0,0,0.0,0.0,F,Consume Alcoholic Bev Pub,0,0,,0,Low,0
Female,Greater than 45,African-American,0,0,0,5.0,-2.0,F,arrest case no charge,1,0,Posses/Disply Susp/Revk/Frd DL,5,Medium,1
Male,25 - 45,Hispanic,0,0,0,2.0,-1.0,F,Tampering With Physical Evidence,1,0,Trespass Structure/Conveyance,2,High,1
Female,Greater than 45,African-American,0,0,0,4.0,-1.0,F,Crimin Mischief Damage $1000+,0,0,,4,Medium,0
Female,25 - 45,Other,0,0,0,5.0,-1.0,F,Agg Battery Grt/Bod/Harm,0,0,,5,High,0
Male,25 - 45,Caucasian,0,0,0,12.0,-2.0,F,Possession Of Alprazolam,1,0,Felony Battery,11,Medium,1
Male,Greater than 45,African-American,0,0,0,0.0,-1.0,F,Possess Tobacco Product Under 18,0,0,,0,Low,0
Male,Greater than 45,Hispanic,0,0,0,2.0,-1.0,M,Battery,0,0,,2,Medium,0
Female,Greater than 45,Native American,0,0,0,1.0,-1.0,M,Battery,0,0,,1,Medium,0
Male,Greater than 45,African-American,0,0,0,3.0,0.0,M,Throw Missile Into Pub/Priv Dw,0,0,,3,Low,0
Female,Less than 25,Asian,0,0,0,0.0,-1.0,M,Assault,0,0,,0,Low,0
Male,25 - 45,Native American,0,0,0,6.0,-1.0,F,arrest case no charge,0,0,,6,Medium,1
Female,Greater than 45,African-American,0,0,0,2.0,-1.0,F,Felony Petit Theft,1,0,Present Proof of Invalid Insur,2,High,1
Female,Greater than 45,Caucasian,0,0,0,0.0,0.0,M,Attempted Burg/Convey/Unocc,0,0,,0,Low,0
Female,Greater than 45,Asian,0,0,2,10.0,-1.0,F,Battery on a Person Over 65,1,1,Resist/Obstruct W/O Violence,10,Low,1
Male,25 - 45,Native American,0,0,0,3.0,-1.0,M,Introduce Contraband Into Jail,0,0,,3,Medium,0
Female,25 - 45,Asian,0,0,0,0.0,-1.0,F,Introduce Contraband Into Jail,0,0,,0,Low,0
Male,Greater than 45,Native American,0,0,0,2.0,0.0,F,Issuing a Worthless Draft,1,0,Traffick Oxycodone 14-25 grams,2,Low,1
Male,Greater than 45,Other,0,0,0,2.0,0.0,M,Disorderly Conduct,0,0,,2,Low,0
Female,25 - 45,Other,0,0,0,11.0,0.0,F,Burglary Dwelling Occupied,1,0,DWLS Canceled Disqul 1st Off,11,Medium,1
Male,Greater than 45,Asian,0,0,0,3.0,-1.0,F,arrest case no charge,1,1,Petit Theft,3,High,1
Male,25 - 45,African-American,0,0,0,0.0,-1.0,F,Solicit Deliver Cocaine,0,0,,0,Low,0
Female,25 - 45,African-American,0,0,0,0.0,0.0,M,Viol Injunct Domestic Violence,0,0,,0,Low,0
Female,Less than 25,Native American,0,0,0,4.0,0.0,M,Battery,1,1,Susp Drivers Lic 1st Offense,4,Medium,1
Male,Greater than 45,Caucasian,0,0,0,2.0,-2.0,F,Burglary Dwelling Occupied,0,0,,2,Low,0
Female,Less than 25,Caucasian,0,0,0,0.0,-1.0,F,Poss Unlaw Issue Driver Licenc,0,0,,0,Low,0
