sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count1,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,r_charge_desc,priors_count2,score_text,two_year_recid
Female,Greater than 45,Other,0,0,0,1.0,-4.0,F,Lewd/Lasc Exhib Presence <16yr,0,0,,1,Low,0
Female,Greater than 45,African-American,0,0,0,1.0,-1.0,F,arrest case no charge,1,0,,1,Medium,0
Female,25 - 45,African-American,1,0,0,8.0,-2.0,F,Burglary Dwelling Occupied,1,0,,8,Low,0
Male,Less than 25,African-American,0,0,0,0.0,-1.0,F,Possession Of Alprazolam,0,0,,0,Medium,0
Female,25 - 45,Other,0,0,0,4.979011754064417,-8.0,M,Battery,1,1,Loitering/Prowling,4,High,0
Male,25 - 45,Caucasian,0,0,0,0.0,-1.0,F,Felony Battery w/Prior Convict,1,0,,0,Low,0
Male,25 - 45,Caucasian,0,0,0,0.0,-3.0,M,Battery,0,0,Poss of Firearm by Convic Felo,0,Low,0
Male,Less than 25,Other,0,0,0,0.0,-1.0,F,Aggrav Battery w/Deadly Weapon,0,0,,0,Low,0
Female,Less than 25,Native American,0,0,0,0.0,-1.0,F,Felony Battery (Dom Strang),0,0,,0,Low,0
Male,Greater than 45,Native American,0,0,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,0,0,,0,High,0
Male,Less than 25,African-American,0,0,0,0.0,-1.0,F,Possession Of Alprazolam,0,0,Petit Theft,0,High,1
Male,Less than 25,Hispanic,0,1,0,11.0,-1.0,F,Burglary Conveyance Unoccup,1,0,Child Abuse,11,High,1
Female,25 - 45,Other,0,0,0,2.0,-1.0,M,Battery,0,0,,2,Low,0
Male,25 - 45,Other,0,0,0,1.0,-2.0,M,Assault,1,0,,1,Low,0
Female,25 - 45,Native American,0,0,0,4.0,-1.0,M,Battery,1,0,Possess Cannabis/20 Grams Or Less,4,Medium,1
Female,Less than 25,Caucasian,0,0,0,0.0,-1.0,F,Felony Battery (Dom Strang),0,0,,0,Low,0
Male,25 - 45,Asian,0,0,0,0.0,0.0,F,Carrying Concealed Firearm,1,0,Resist Merchant W Or W/O Viol,0,Low,1
Female,Greater than 45,Caucasian,0,0,0,1.0,-1.0,M,Battery,1,0,Reckless Display Of Weapon,1,Low,1
Male,Greater than 45,Hispanic,2,0,0,2.0,-2.0,F,arrest case no charge,1,0,,2,High,1
Male,25 - 45,Caucasian,0,0,0,4.0,0.0,F,Felony Battery w/Prior Convict,1,0,Viol Injunct Domestic Violence,4,High,1
Male,Less than 25,Other,0,0,0,0.0,0.0,F,Sell or Offer for Sale Counterfeit Goods,1,0,Burglary Conveyance Occupied,0,Low,1
Male,Greater than 45,Hispanic,0,0,0,1.0,-1.0,M,Battery,0,0,,1,Low,0
Female,Less than 25,African-American,0,0,0,0.0,-3.0,M,Poss Cntrft Contr Sub w/Intent,0,0,,0,Low,0
Male,25 - 45,Other,0,0,0,1.0,-1.0,F,Uttering a Forged Instrument,1,0,Unlaw LicTag/Sticker Attach,1,Low,1
Female,Less than 25,Asian,0,0,0,0.0,-1.0,M,Battery,1,0,Petit Theft,0,Medium,1
Male,Greater than 45,Native American,1,0,0,1.0,27.12691661722579,F,arrest case no charge,1,0,Possess Cannabis/20 Grams Or Less,1,High,1
Female,Less than 25,Asian,0,0,0,0.0,-1.0,F,Battery on Law Enforc Officer,1,0,Viol Injunct Domestic Violence,0,Low,1
Male,25 - 45,Asian,0,0,0,0.0,-1.0,F,Aggravated Battery / Pregnant,0,0,,0,Low,0
Male,Less than 25,Asian,0,0,0,3.0,0.0,M,DUI Level 0.15 Or Minor In Veh,0,0,,3,Medium,0
Female,Less than 25,Caucasian,0,0,0,0.0,-1.0,M,Battery,0,0,,0,High,0
Male,Less than 25,Asian,0,0,0,2.0,-23.0,F,arrest case no charge,0,0,Driving While License Revoked,2,Low,0
Male,Less than 25,Caucasian,0,0,0,2.0,-18.09525782030962,F,Possession of Cannabis,0,0,,2,Low,0
Female,25 - 45,Hispanic,0,0,0,5.0,-1.0,F,Felony Battery w/Prior Convict,0,0,,5,Low,0
Male,25 - 45,African-American,0,0,0,0.0,-1.0,F,"Poss3,4 Methylenedioxymethcath",1,0,,0,Low,0
Male,Greater than 45,African-American,0,0,0,0.0,-1.0,F,Possession of Oxycodone,0,0,,0,Low,0
Male,Greater than 45,African-American,0,0,0,12.0,-24.0,M,arrest case no charge,0,0,,12,Medium,0
Female,Greater than 45,Caucasian,0,0,0,9.0,0.0,F,Possession of Cannabis,1,0,Susp Drivers Lic 1st Offense,9,Medium,0
Female,Greater than 45,Hispanic,0,0,0,4.0,-1.0,M,Battery,1,0,,4,Low,0
Male,Less than 25,Native American,0,0,0,0.0,0.0,F,Grand Theft (Motor Vehicle),1,0,Possess Cannabis/20 Grams Or Less,0,Medium,0
Female,Greater than 45,Caucasian,0,0,0,0.0,-1.0,M,Battery,1,1,Battery,0,High,1
Female,25 - 45,Asian,0,0,0,2.0,-1.0,F,Aggrav Battery w/Deadly Weapon,0,0,,2,Low,0
Female,Less than 25,Caucasian,0,0,0,0.0,-1.0,M,Battery on Law Enforc Officer,1,0,Possess Cannabis/20 Grams Or Less,0,Medium,1
Female,Less than 25,Caucasian,0,0,0,10.0,-1.0,F,Trespass On School Grounds,1,0,Aggravated Assault W/Dead Weap,10,Medium,1
Male,25 - 45,African-American,0,0,0,5.0,-1.0,F,arrest case no charge,1,0,Susp Drivers Lic 1st Offense,5,Medium,1
Female,Less than 25,Hispanic,0,0,0,0.0,-1.0,F,Burglary Unoccupied Dwelling,0,0,,0,Low,0
Female,25 - 45,Hispanic,0,0,0,5.0,-1.0,F,Uttering a Forged Instrument,1,0,Disorderly Conduct,5,Medium,1
