sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count1,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,r_charge_desc,priors_count2,score_text,two_year_recid
Female,Greater than 45,Other,0,0,0,13.0,-1.0,M,arrest case no charge,0,0,,13,Medium,0
Female,Greater than 45,Asian,0,0,0,1.0,-18.395949613492363,F,Battery On Parking Enfor Speci,1,0,,1,Medium,0
Female,25 - 45,African-American,0,0,0,2.0,-1.0,M,Dealing in Stolen Property,0,0,,2,Low,0
Male,Less than 25,African-American,0,0,0,0.0,-1.0,M,Battery,1,0,Operating W/O Valid License,0,Low,1
Female,25 - 45,Other,0,0,0,3.0,0.0,F,arrest case no charge,1,0,Petit Theft,3,Low,1
Male,25 - 45,Caucasian,0,0,0,0.0,-1.0,F,Grand Theft in the 3rd Degree,1,0,Petit Theft $100- $300,0,Low,0
Male,25 - 45,Caucasian,0,0,0,0.0,-1.0,F,arrest case no charge,0,0,,0,High,0
Male,Less than 25,Other,0,0,0,8.0,-1.0,F,Driving While License Revoked,1,0,Possession of Cocaine,8,Low,1
Female,Less than 25,Native American,0,0,0,0.0,0.0,M,Fail Register Vehicle,0,0,,0,Low,0
Male,25 - 45,Native American,0,0,0,3.0,-1.0,F,Grand Theft in the 3rd Degree,0,0,,3,Low,0
Male,Greater than 45,African-American,0,0,0,2.0,0.0,M,Prowling/Loitering,0,0,,2,Low,0
Male,Less than 25,Hispanic,0,0,0,5.0,-1.0,F,Driving While License Revoked,1,0,Driving License Suspended,5,Low,1
Male,25 - 45,Other,0,0,0,5.0,-1.0,F,Misuse Of 911 Or E911 System,0,0,,5,Medium,0
Male,25 - 45,Other,0,0,0,2.0,-2.0,F,Grand Theft in the 3rd Degree,0,0,,2,Low,0
Female,25 - 45,Native American,0,0,0,9.0,-8.0,F,arrest case no charge,1,0,Driving License Suspended,9,High,1
Female,Less than 25,Caucasian,0,0,0,6.0,-1.0,F,Felony Petit Theft,0,0,,6,Low,0
Male,25 - 45,Asian,0,0,0,1.0,-1.0,F,Felony Petit Theft,1,0,Possess Cannabis/20 Grams Or Less,1,High,1
Female,Greater than 45,Asian,0,0,0,3.0,-1.0,F,Grand Theft in the 3rd Degree,1,0,Possess Drug Paraphernalia,3,High,1
Male,25 - 45,Hispanic,0,0,0,0.0,-1.0,M,Battery,0,0,,0,Low,0
Male,25 - 45,Caucasian,0,0,0,9.0,-13.711353179869224,M,arrest case no charge,1,1,Felony Battery w/Prior Convict,9,High,1
Male,Less than 25,Other,0,0,0,8.0,0.0,M,Trans/Harm/Material to a Minor,1,0,Driving License Suspended,8,Medium,1
Male,Greater than 45,Hispanic,0,0,0,0.0,-1.0,F,Poss Pyrrolidinovalerophenone,1,0,Petit Theft $100- $300,0,Medium,1
Female,Less than 25,African-American,0,0,0,14.0,0.0,F,Possession of Cocaine,1,0,Child Abuse,14,Medium,1
Male,25 - 45,Other,0,0,0,7.0,-1.0,F,Felony Driving While Lic Suspd,0,0,,7,Low,0
Female,Less than 25,Caucasian,0,0,1,8.0,-7.810326114874297,M,Lve/Scen/Acc/Veh/Prop/Damage,1,1,Petit Theft $100- $300,8,Medium,1
Male,25 - 45,Native American,0,0,0,4.0,0.0,F,Pos Cannabis W/Intent Sel/Del,0,0,,4,Low,0
Female,Less than 25,Asian,0,0,0,1.0,0.0,F,Possession of Cocaine,0,0,,1,Medium,0
Male,25 - 45,African-American,0,0,1,15.0,-1.0,F,Driving While License Revoked,1,0,Trespass/Property/Other Structure,15,Medium,1
Male,Less than 25,Asian,0,0,0,0.0,-1.0,F,Grand Theft in the 3rd Degree,0,0,,0,Low,0
