sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count1,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,r_charge_desc,priors_count2,score_text,two_year_recid
Female,Greater than 45,Native American,0,0,0,0.0,-1.0,F,Attempted Robbery  No Weapon,0,0,,0,Medium,0
Female,Greater than 45,Hispanic,0,0,0,0.0,-1.0,F,Attempted Robbery  No Weapon,1,0,,0,Low,0
Male,25 - 45,African-American,0,0,0,6.0,-1.0,F,Possession of Cocaine,1,0,Possess Cannabis/20 Grams Or Less,6,Low,1
Male,Less than 25,African-American,0,0,0,3.0,-1.0,F,Burglary Unoccupied Dwelling,1,0,Possess Cannabis/20 Grams Or Less,3,Medium,1
Female,Greater than 45,Native American,0,0,0,0.0,-1.0,M,Attempted Robbery  No Weapon,0,0,,0,Low,0
Male,25 - 45,Asian,0,0,0,1.0,-1.0,M,Driving Under The Influence,1,0,Possess Cannabis/20 Grams Or Less,1,Medium,1
Female,25 - 45,Native American,0,0,0,0.0,0.0,M,Attempted Robbery  No Weapon,0,0,,0,Low,0
Male,Greater than 45,Other,0,0,0,1.0,-1.0,M,Driving License Suspended,0,0,,1,Low,0
Male,Less than 25,Asian,0,0,1,12.0,-1.0,M,Battery,1,0,Petit Theft,12,High,1
Female,Less than 25,Other,0,0,0,1.0,-1.0,M,Viol Pretrial Release Dom Viol,1,1,Battery,1,Low,1
Male,Greater than 45,African-American,0,0,0,1.0,-1.0,F,arrest case no charge,0,0,,1,Low,0
Female,Greater than 45,Native American,0,0,0,0.0,-1.0,M,Attempted Robbery  No Weapon,0,0,,0,Low,0
Female,25 - 45,Native American,0,0,0,0.0,-1.0,F,Attempted Robbery  No Weapon,0,0,,0,Low,0
Male,25 - 45,Other,0,0,0,5.0,0.0,M,Battery,0,0,,5,High,0
Female,Greater than 45,Native American,0,0,0,0.0,-1.0,M,Attempted Robbery  No Weapon,0,0,,0,Low,0
Female,Greater than 45,Caucasian,0,0,0,1.0,-22.0,F,Possession of Cocaine,0,0,,1,Medium,0
Female,Greater than 45,Hispanic,0,0,0,0.0,-1.0,F,Attempted Robbery  No Weapon,0,0,,0,Medium,0
Female,25 - 45,Caucasian,0,0,0,2.0,-1.0,F,Assault,0,0,,2,Low,0
Male,Less than 25,Other,0,1,0,10.0,-1.0,F,Grand Theft in the 3rd Degree,1,0,,10,Low,1
Male,25 - 45,Caucasian,0,0,0,1.0,-1.0,F,arrest case no charge,0,0,,1,Low,0
Male,Less than 25,Other,0,0,0,4.0,-1.0,F,Felony Petit Theft,1,0,Petit Theft,4,Medium,1
Male,25 - 45,Caucasian,0,0,0,3.0,-1.0,F,Assault,0,0,,3,Low,0
Female,Greater than 45,Hispanic,0,0,0,0.0,0.0,F,Attempted Robbery  No Weapon,1,0,Operating W/O Valid License,0,Medium,1
Female,25 - 45,Native American,0,0,0,0.0,-2.0,M,Attempted Robbery  No Weapon,0,0,,0,Low,0
